rank,team_name,team_abbrev,off_rk,off_gp,off_pts,off_fgm,off_fga,off_fg_pct,off_3pm,off_3pa,off_3p_pct,off_ftm,off_fta,off_ft_pct,off_or,off_dr,off_reb,off_ast,off_stl,off_blk,off_to,off_pf,season,season_type
1,Indiana Pacers,ind,-,17,113.9,44.8,88.4,50.7,12.2,32.9,37.2,12.1,16.2,74.6,10.3,31.1,41.4,29.9,5.5,4.8,11.4,20.5,2023-24,playoffs
2,Milwaukee Bucks,mil,-,6,110.2,40.8,86.3,47.3,11.2,31.5,35.5,17.3,21.2,81.9,9.5,33.2,42.7,22.2,5.3,3.2,9.8,18.7,2023-24,playoffs
3,New York Knicks,ny,-,13,109.9,39.8,87.8,45.3,11.9,31.8,37.5,18.5,24.4,75.7,13.5,29.4,42.8,22.5,5.7,5.4,10.3,17.8,2023-24,playoffs
4,Boston Celtics,bos,-,19,108.8,39.3,83.8,46.9,14.5,40.2,36.0,15.7,19.3,81.2,9.7,33.4,43.1,23.8,6.3,5.4,10.2,15.7,2023-24,playoffs
5,Philadelphia 76Ers,phi,-,6,108.2,37.0,83.3,44.4,13.5,35.7,37.8,20.7,24.7,83.8,10.7,30.5,41.2,23.0,5.5,6.3,11.0,21.5,2023-24,playoffs
6,Minnesota Timberwolves,min,-,16,107.5,38.8,82.9,46.8,11.7,32.6,35.9,18.3,23.6,77.5,10.6,31.8,42.4,23.9,7.3,4.6,11.3,20.8,2023-24,playoffs
7,Los Angeles Lakers,lal,-,5,106.4,41.6,84.6,49.2,8.8,29.4,29.9,14.4,18.8,76.6,7.4,33.2,40.6,24.4,6.0,4.0,10.4,16.6,2023-24,playoffs
8,Dallas Mavericks,dal,-,22,106.0,38.9,83.0,46.8,11.9,33.1,36.0,16.3,22.7,71.9,10.9,32.2,43.1,21.1,6.3,5.3,11.9,19.0,2023-24,playoffs
9,Oklahoma City Thunder,okc,-,10,105.7,39.4,85.8,45.9,12.1,34.0,35.6,14.8,18.5,80.0,8.7,32.8,41.5,23.1,7.8,6.2,10.4,17.7,2023-24,playoffs
10,Phoenix Suns,phx,-,4,103.3,35.3,75.8,46.5,9.5,26.0,36.5,23.3,28.0,83.0,7.3,25.3,32.5,19.8,7.5,4.3,13.5,23.3,2023-24,playoffs
11,Denver Nuggets,den,-,12,102.2,38.9,85.2,45.7,10.5,31.6,33.2,13.8,16.7,83.0,9.9,32.6,42.5,24.9,6.4,4.3,11.3,18.0,2023-24,playoffs
12,La Clippers,lac,-,6,100.3,35.7,82.2,43.4,11.8,31.7,37.4,17.2,21.7,79.2,11.2,30.8,42.0,20.2,6.2,3.2,12.2,22.8,2023-24,playoffs
13,Orlando Magic,orl,-,7,100.3,35.3,84.0,42.0,10.3,33.3,30.9,19.4,25.1,77.3,12.0,33.0,45.0,19.3,8.0,5.1,13.9,21.6,2023-24,playoffs
14,Cleveland Cavaliers,cle,-,12,98.1,37.4,83.4,44.9,10.3,32.8,31.5,12.9,17.0,76.0,7.7,31.1,38.8,21.3,6.7,4.6,11.5,19.8,2023-24,playoffs
15,Miami Heat,mia,-,5,92.2,35.6,81.2,43.8,11.2,34.0,32.9,9.8,12.0,81.7,5.6,30.6,36.2,21.2,4.6,1.4,10.4,16.8,2023-24,playoffs
16,New Orleans Pelicans,no,-,4,89.5,33.5,84.5,39.6,8.8,32.8,26.7,13.8,16.0,85.9,12.3,33.3,45.5,19.5,8.8,4.5,17.3,20.0,2023-24,playoffs
