rank,team_name,team_abbrev,def_rk,def_gp,def_pts,def_fgm,def_fga,def_fg_pct,def_3pm,def_3pa,def_3p_pct,def_ftm,def_fta,def_ft_pct,def_or,def_dr,def_reb,def_ast,def_stl,def_blk,def_to,def_pf,season,season_type
1,Orlando Magic,orl,1,82,105.5,38.1,81.5,46.8,11.4,31.4,36.5,17.9,23.4,76.6,9.2,33.0,42.1,22.8,7.7,4.4,15.4,20.3,2024-25,regular
2,Boston Celtics,bos,2,82,107.2,40.3,89.4,45.0,12.9,37.1,34.7,13.8,17.7,77.7,10.7,33.0,43.7,24.0,6.9,3.6,12.0,17.5,2024-25,regular
3,Oklahoma City Thunder,okc,3,82,107.6,37.9,87.0,43.6,13.5,39.3,34.2,18.3,23.7,77.4,11.6,33.3,44.9,24.6,6.7,4.8,16.3,18.1,2024-25,regular
4,La Clippers,lac,4,82,108.2,39.5,85.8,46.1,13.0,37.0,35.0,16.2,21.0,77.2,9.7,31.8,41.5,25.7,8.8,4.3,14.4,17.8,2024-25,regular
5,Minnesota Timberwolves,min,5,82,109.3,40.5,88.0,46.0,12.7,36.0,35.3,15.7,20.4,76.7,11.0,31.8,42.9,24.8,8.4,4.5,13.8,19.2,2024-25,regular
6,Houston Rockets,hou,6,82,109.8,40.5,88.3,45.9,12.3,34.5,35.7,16.4,21.7,75.9,10.6,31.6,42.1,23.5,7.9,5.7,13.6,19.2,2024-25,regular
7,Miami Heat,mia,7,82,110.0,41.3,88.6,46.6,13.6,37.9,36.0,13.9,17.9,77.6,10.7,33.9,44.7,26.5,7.5,4.7,12.8,17.0,2024-25,regular
8,Golden State Warriors,gs,8,82,110.5,40.4,86.9,46.5,13.2,36.3,36.3,16.4,21.4,76.9,10.6,33.5,44.1,25.9,7.6,5.4,14.9,18.6,2024-25,regular
9,New York Knicks,ny,9,82,111.7,41.6,87.7,47.4,13.1,35.7,36.7,15.4,19.5,78.9,10.9,31.0,41.8,25.2,7.0,5.0,13.8,19.0,2024-25,regular
10,Los Angeles Lakers,lal,10,82,112.2,41.4,89.3,46.3,13.6,38.1,35.6,15.9,20.5,77.5,11.2,31.8,43.0,27.3,8.2,4.2,13.0,19.2,2024-25,regular
11,Brooklyn Nets,bkn,11,82,112.2,40.5,84.3,48.0,12.9,35.7,36.2,18.4,23.6,77.9,10.1,33.6,43.7,27.1,8.0,5.6,14.1,18.9,2024-25,regular
12,Cleveland Cavaliers,cle,12,82,112.4,41.2,90.9,45.4,13.5,37.5,35.9,16.5,21.1,77.9,11.5,32.0,43.5,25.6,7.8,4.4,13.5,18.9,2024-25,regular
13,Milwaukee Bucks,mil,13,82,113.0,41.6,91.1,45.7,13.9,39.4,35.3,15.9,20.3,78.3,11.0,34.3,45.3,26.4,7.3,3.8,12.0,18.9,2024-25,regular
14,Detroit Pistons,det,14,82,113.6,40.6,87.9,46.1,13.6,37.2,36.6,18.8,24.3,77.6,10.5,31.9,42.5,24.8,8.9,5.0,14.2,18.9,2024-25,regular
15,Portland Trail Blazers,por,15,82,113.9,41.6,88.3,47.1,12.7,35.2,36.1,18.0,22.5,79.9,11.9,32.3,44.2,26.2,9.5,5.5,14.5,19.3,2024-25,regular
16,Charlotte Hornets,cha,16,82,114.2,41.6,88.9,46.7,14.2,40.0,35.5,16.9,21.4,79.0,11.3,33.9,45.2,26.8,8.8,5.3,12.4,18.1,2024-25,regular
17,Indiana Pacers,ind,17,82,115.1,42.6,89.9,47.4,12.9,36.3,35.5,17.0,22.0,77.3,11.2,33.8,45.0,26.0,7.2,4.5,14.2,18.8,2024-25,regular
18,Toronto Raptors,tor,18,82,115.2,41.2,88.3,46.6,13.2,37.7,34.9,19.6,25.2,77.8,11.5,33.5,45.0,25.9,9.2,5.9,14.2,18.1,2024-25,regular
19,Sacramento Kings,sac,19,82,115.3,41.6,87.8,47.4,14.5,38.2,38.1,17.6,22.4,78.3,10.0,32.4,42.3,27.0,7.9,4.3,13.1,18.5,2024-25,regular
20,Dallas Mavericks,dal,20,82,115.4,43.1,91.7,46.9,12.9,35.4,36.3,16.4,21.1,77.9,12.1,33.2,45.3,27.1,8.1,4.6,12.6,18.7,2024-25,regular
21,Philadelphia 76Ers,phi,21,82,115.8,42.4,86.8,48.8,14.2,37.6,37.8,16.9,21.2,79.4,11.5,34.0,45.5,28.3,7.4,5.1,15.2,18.7,2024-25,regular
22,Phoenix Suns,phx,22,82,116.6,42.6,90.1,47.3,14.2,38.4,37.0,17.2,21.8,79.0,11.5,32.7,44.2,27.3,8.5,4.0,11.5,18.4,2024-25,regular
23,San Antonio Spurs,sa,23,82,116.7,43.8,92.5,47.4,14.4,39.3,36.5,14.6,18.5,79.0,12.1,34.1,46.2,28.0,8.1,4.3,12.8,17.4,2024-25,regular
24,Memphis Grizzlies,mem,24,82,116.9,41.9,91.8,45.6,14.2,39.4,36.0,18.9,24.5,77.0,11.5,32.0,43.5,27.0,8.7,5.5,14.6,20.2,2024-25,regular
25,Denver Nuggets,den,25,82,116.9,43.3,93.0,46.6,14.1,38.7,36.5,16.1,20.7,77.7,11.7,30.7,42.5,29.0,8.7,5.1,12.4,19.0,2024-25,regular
26,New Orleans Pelicans,no,26,82,119.3,43.7,90.5,48.3,14.6,40.1,36.5,17.2,21.9,78.6,11.9,33.9,45.7,28.6,9.0,5.2,13.1,17.9,2024-25,regular
27,Atlanta Hawks,atl,27,82,119.3,43.4,90.2,48.1,14.3,37.8,37.7,18.2,22.7,80.2,10.3,33.4,43.7,28.2,9.2,4.9,15.2,19.1,2024-25,regular
28,Chicago Bulls,chi,28,82,119.4,44.4,95.0,46.7,13.6,39.6,34.4,16.9,21.5,78.6,11.0,35.1,46.1,28.9,8.1,5.1,11.8,16.8,2024-25,regular
29,Washington Wizards,wsh,29,82,120.4,43.7,92.8,47.1,14.3,39.2,36.4,18.8,23.7,79.3,12.9,36.0,48.9,28.5,9.1,5.2,12.4,18.2,2024-25,regular
30,Utah Jazz,utah,30,82,121.2,44.6,93.0,48.0,14.9,41.5,35.8,17.2,22.6,76.3,11.7,32.6,44.2,29.6,9.8,6.4,11.3,19.3,2024-25,regular
